fecha,municipio,subregion,estacion,latitud,longitud,altitud_m,poblacion,temperatura_c,precipitacion_mm,humedad_relativa,velocidad_viento_kmh,radiacion_solar_wm2
2026-01-01,Medellin,Valle de Aburra,AMVA Centro,6.2442,-75.5812,1495,2533424,22.8,5.4,68,8.4,512
2026-01-01,Bello,Valle de Aburra,Bello Norte,6.3373,-75.5580,1450,536006,22.1,6.1,70,7.1,498
2026-01-01,Envigado,Valle de Aburra,Envigado Urbano,6.1719,-75.5800,1575,243568,21.7,4.8,69,7.8,520
2026-01-01,Rionegro,Oriente,Rionegro Aeropuerto,6.1552,-75.3737,2125,142222,17.4,8.5,78,10.6,455
2026-01-01,Santa Fe de Antioquia,Occidente,Santa Fe IDEAM,6.5569,-75.8281,550,26679,28.9,2.2,62,9.5,590
2026-01-01,Apartado,Uraba,Apartado Urbano,7.8836,-76.6259,30,131405,27.2,13.6,84,6.2,438
2026-01-01,Turbo,Uraba,Turbo Puerto,8.0926,-76.7282,2,166904,27.8,15.1,86,7.4,421
2026-01-01,Caucasia,Bajo Cauca,Caucasia Sinchi,7.9865,-75.1989,50,117115,28.4,10.2,80,6.8,550
2026-01-01,Yarumal,Norte,Yarumal Alto,6.9632,-75.4174,2265,53595,15.9,7.3,81,12.5,470
2026-01-01,Jardin,Suroeste,Jardin Cafetera,5.5990,-75.8199,1750,13748,19.3,9.7,82,6.6,462
2026-02-01,Medellin,Valle de Aburra,AMVA Centro,6.2442,-75.5812,1495,2533424,23.1,7.2,69,8.9,526
2026-02-01,Bello,Valle de Aburra,Bello Norte,6.3373,-75.5580,1450,536006,22.4,7.9,71,7.5,510
2026-02-01,Envigado,Valle de Aburra,Envigado Urbano,6.1719,-75.5800,1575,243568,22.0,6.8,70,8.1,530
2026-02-01,Rionegro,Oriente,Rionegro Aeropuerto,6.1552,-75.3737,2125,142222,17.8,10.4,79,11.0,466
2026-02-01,Santa Fe de Antioquia,Occidente,Santa Fe IDEAM,6.5569,-75.8281,550,26679,29.4,3.1,63,9.9,602
